status,medicine_id,name,kind,existing_category_id,category_id,confidence,efficacy,pharmacology,atc,aliases,aliases_added,alias_conflicts,detail_url,reason
review_missing_efficacy,,利福平异烟肼胶囊,western,,,0.0,,,抗分枝杆菌药 | 顿挫性结核治疗用药 | 顿挫性结核治疗用药的复方,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E5%88%A9%E7%A6%8F%E5%B9%B3%E5%BC%82%E7%83%9F%E8%82%BC%E8%83%B6%E5%9B%8A,站点分类无法可靠映射到项目现有类别
review_missing_efficacy,,利福平眼膏,western,,9,0.94,,,抗分枝杆菌药 | 顿挫性结核治疗用药 | 抗生素类,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E5%88%A9%E7%A6%8F%E5%B9%B3%E7%9C%BC%E8%86%8F,剂型或站点分类明确为局部外用药
review_unclassified,,氯苯唑酸葡胺软胶囊,western,,,0.0,本品用于治疗成人转甲状腺素蛋白淀粉样变性多发性神经病Ⅰ期症状患者，延缓周围神经功能损害。,神经系统用药 | 其他神经系统用药,其它神经系统用药,维达全,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E6%B0%AF%E8%8B%AF%E5%94%91%E9%85%B8%E8%91%A1%E8%83%BA%E8%BD%AF%E8%83%B6%E5%9B%8A,站点分类无法可靠映射到项目现有类别
review_missing_efficacy,,盐酸氯哌丁片,western,,1,0.95,用于干咳。,呼吸系统用药 | 镇咳药,咳嗽和感冒用药 | 止咳药，与祛痰药的复方除外 | 其它止咳药,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%9B%90%E9%85%B8%E6%B0%AF%E5%93%8C%E4%B8%81%E7%89%87,站点药理分类明确为止咳或祛痰药
review_missing_efficacy,,氯贝丁酯胶囊,western,,11,0.95,,,血脂调节剂 | 血脂调节剂，单方 | 贝特类,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E6%B0%AF%E8%B4%9D%E4%B8%81%E9%85%AF%E8%83%B6%E5%9B%8A,站点药理或 ATC 分类明确为慢性病长期用药
review_unclassified,,氯普噻吨片,western,,,0.0,用于急性和慢性精神分裂症，适用于伴有精神运动性激越、焦虑、抑郁症状的精神障碍。,治疗精神障碍药 | 抗精神病药,精神安定药 | 抗精神病药 | 噻吨衍生物类,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E6%B0%AF%E6%99%AE%E5%99%BB%E5%90%A8%E7%89%87,站点分类无法可靠映射到项目现有类别
review_unclassified,,盐酸硫利达嗪片,western,,,0.0,治疗精神躯体障碍所致焦虑和紧张状态，儿童行为问题。,治疗精神障碍药 | 抗精神病药,精神安定药 | 抗精神病药 | 带有哌啶结构的吩噻嗪类,利达新,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%9B%90%E9%85%B8%E7%A1%AB%E5%88%A9%E8%BE%BE%E5%97%AA%E7%89%87,站点分类无法可靠映射到项目现有类别
review_missing_efficacy,,二维钙赖氨酸片,western,,7,0.96,,,矿物质补充剂 | 钙,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E4%BA%8C%E7%BB%B4%E9%92%99%E8%B5%96%E6%B0%A8%E9%85%B8%E7%89%87,站点药理或 ATC 分类明确为维生素/矿物质
review_missing_efficacy,,洛索洛芬钠口服溶液,western,,3,0.94,,,抗炎和抗风湿药 | 非甾体抗炎药和抗风湿药 | 丙酸衍生物类,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E6%B4%9B%E7%B4%A2%E6%B4%9B%E8%8A%AC%E9%92%A0%E5%8F%A3%E6%9C%8D%E6%BA%B6%E6%B6%B2,站点药理或 ATC 分类明确为镇痛/抗炎药
review_missing_efficacy,,盐酸鲁拉西酮片,western,,,0.0,精神分裂症。,治疗精神障碍药 | 抗精神病药,精神安定药 | 抗精神病药 | 吲哚衍生物类,罗舒达 Latuda,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%9B%90%E9%85%B8%E9%B2%81%E6%8B%89%E8%A5%BF%E9%85%AE%E7%89%87,站点分类无法可靠映射到项目现有类别
review_unclassified,,米拉贝隆缓释片,western,,,0.0,成年膀胱过度活动症(OAB)患者尿急、尿频和/或急迫性尿失禁的对症治疗。,泌尿系统用药 | 其他泌尿系统药,泌尿系统药物 | 尿道解痉药,贝坦利BETMIGA,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%B1%B3%E6%8B%89%E8%B4%9D%E9%9A%86%E7%BC%93%E9%87%8A%E7%89%87,站点分类无法可靠映射到项目现有类别
review_missing_efficacy,,马来酸依那普利口服溶液,western,,,0.0,,,作用于肾素-血管紧张素系统的药物 | 血管紧张素转化酶抑制药，单方,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E9%A9%AC%E6%9D%A5%E9%85%B8%E4%BE%9D%E9%82%A3%E6%99%AE%E5%88%A9%E5%8F%A3%E6%9C%8D%E6%BA%B6%E6%B6%B2,站点分类无法可靠映射到项目现有类别
review_missing_efficacy,,马来酸氨氯地平胶囊,western,,,0.0,,,钙通道阻滞剂 | 主要对血管产生影响的选择性钙通道阻滞剂 | 二氢吡啶衍生物,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E9%A9%AC%E6%9D%A5%E9%85%B8%E6%B0%A8%E6%B0%AF%E5%9C%B0%E5%B9%B3%E8%83%B6%E5%9B%8A,站点分类无法可靠映射到项目现有类别
review_missing_efficacy,,е…Ёз”Ійұјиғ¶еӣҠ,tcm,,13,0.9,,,,,,,https://www.yao86.com/%E4%B8%AD%E6%88%90%E8%8D%AF/%E5%85%A8%E7%94%B2%E9%B1%BC%E8%83%B6%E5%9B%8A,站点明确收录为中成药，未命中更具体项目类别
review_missing_efficacy,,浓氨溶液,western,,,0.0,,,,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E6%B5%93%E6%B0%A8%E6%BA%B6%E6%B6%B2,站点分类无法可靠映射到项目现有类别
review_missing_efficacy,,萘夫西林钠胶囊,western,,2,0.96,,,系统用抗细菌药 | β-内酰胺抗菌药，青霉素类 | 耐β-内酰胺酶的青霉素类,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E8%90%98%E5%A4%AB%E8%A5%BF%E6%9E%97%E9%92%A0%E8%83%B6%E5%9B%8A,站点药理或 ATC 分类明确为抗感染药
review_missing_efficacy,,平衡盐水,western,,,0.0,,眼科用药 | 其他眼科用药,血液代用品和灌注液 | 灌注液 | 盐溶液,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E5%B9%B3%E8%A1%A1%E7%9B%90%E6%B0%B4,站点分类无法可靠映射到项目现有类别
